Mese;Anno;Numero
Dicembre;2019;123904
Novembre;2019;133809
Ottobre;2019;149814
Settembre;2019;138582
Agosto;2019;122447
Luglio;2019;143378
Giugno;2019;141246
Maggio;2019;146939
Aprile;2019;139919
Marzo;2019;134937
Febbraio;2019;115351
Gennaio;2019;102164
Dicembre;2020;21870
Novembre;2020;22839
Ottobre;2020;66399
Settembre;2020;70826
Agosto;2020;54473
Luglio;2020;47341
Giugno;2020;24243
Maggio;2020;6900
Aprile;2020;2804
Marzo;2020;9826
Febbraio;2020;96642
Gennaio;2020;113726
Dicembre;2021;89662
Novembre;2021;107324
Ottobre;2021;134460
Settembre;2021;112662
Agosto;2021;115145
Luglio;2021;101002
Giugno;2021;67927
Maggio;2021;54181
Aprile;2021;25602
Marzo;2021;21337
Febbraio;2021;28831
Gennaio;2021;23038
Dicembre;2022;114679
Novembre;2022;126096
Ottobre;2022;161801
Settembre;2022;136542
Agosto;2022;142677
Luglio;2022;155759
Giugno;2022;140381
Maggio;2022;143670
Aprile;2022;134145
Marzo;2022;111478
Febbraio;2022;80940
Gennaio;2022;57418
Dicembre;2023;127173
Novembre;2023;131645
Ottobre;2023;160667
Settembre;2023;147903
Agosto;2023;147840
Luglio;2023;174222
Giugno;2023;156935
Maggio;2023;151066
Aprile;2023;161037
Marzo;2023;137115
Febbraio;2023;114308
Gennaio;2023;116107
Novembre;2024;145738
Ottobre;2024;174466
Settembre;2024;166139
Agosto;2024;149329
Luglio;2024;167334
Giugno;2024;166400
Maggio;2024;170090
Aprile;2024;161628
Marzo;2024;158604
Febbraio;2024;127444
Gennaio;2024;116817
